id,fake,real
TEST_00000,0.548791634027888,0.7845416993054453
TEST_00001,0.5515832119801242,0.7817501213532092
TEST_00002,0.5730015397019572,0.7603317936313762
TEST_00003,0.5024014005669419,0.49759859943305795
TEST_00004,0.535028225545068,0.7983051077882652
TEST_00005,0.523754750993854,0.476245249006146
TEST_00006,0.0,0.0
TEST_00007,0.3637273231293884,0.6362726768706116
TEST_00008,0.3506591043916567,0.6493408956083433
TEST_00009,0.582708368336181,0.7506249649971523
TEST_00010,0.5312775104811902,0.4687224895188098
TEST_00011,0.3497848718205381,0.6502151281794619
TEST_00012,0.3327616265709943,0.6672383734290057
TEST_00013,0.49670173572893206,0.5032982642710679
TEST_00014,0.49167489087384464,0.5083251091261554
TEST_00015,0.53657223150297,0.7967611018303633
TEST_00016,0.28238977343785,0.71761022656215
TEST_00017,0.40289665573175926,0.5971033442682407
TEST_00018,0.0,0.0
TEST_00019,0.5411536202942497,0.7921797130390835
TEST_00020,0.25628606335316834,0.7437139366468317
TEST_00021,0.7529249927142908,0.5804083406190425
TEST_00022,0.4907508798433087,0.5092491201566913
TEST_00023,0.44983618542884873,0.5501638145711513
TEST_00024,0.47914957237871814,0.5208504276212819
TEST_00025,0.4418619161545479,0.5581380838454522
TEST_00026,0.3047491618222175,0.6952508381777824
TEST_00027,0.5555212138107151,0.44447878618928494
TEST_00028,0.6475968453862531,0.6857364879470802
TEST_00029,0.4717729839314727,0.5282270160685273
TEST_00030,0.5590513212176709,0.7742820121156624
TEST_00031,0.3540459824377191,0.6459540175622809
TEST_00032,0.0,0.0
TEST_00033,0.511518294195724,0.48848170580427597
TEST_00034,0.4252568939835192,0.5747431060164808
TEST_00035,0.25373026438162855,0.7462697356183714
TEST_00036,0.6556392221193459,0.3443607778806541
TEST_00037,0.4723134958608901,0.5276865041391099
TEST_00038,0.6594107181543296,0.6739226151790036
TEST_00039,0.5618406071535568,0.7714927261797766
TEST_00040,0.741796848899747,0.258203151100253
TEST_00041,0.4091500474110754,0.5908499525889246
TEST_00042,0.0,0.0
TEST_00043,0.5752283467195722,0.42477165328042765
TEST_00044,0.2599081073013559,0.7400918926986442
TEST_00045,0.5442900642493083,0.789043269084025
TEST_00046,0.25791242202991743,0.7420875779700826
TEST_00047,0.588066443220298,0.7452668901130353
TEST_00048,0.297483832266287,0.7025161677337131
TEST_00049,0.28424862380298643,0.7157513761970136
TEST_00050,0.54392714753315,0.7894061858001833
TEST_00051,0.49851054616961676,0.5014894538303833
TEST_00052,0.6337837634633106,0.6995495698700228
TEST_00053,0.6952189812117309,0.3047810187882692
TEST_00054,0.2582340850468645,0.7417659149531355
TEST_00055,0.3706740293960399,0.6293259706039602
TEST_00056,0.0,0.0
TEST_00057,0.45544554241045837,0.5445544575895416
TEST_00058,0.6837846933468282,0.6495486399865049
TEST_00059,0.5444928466333223,0.45550715336667774
TEST_00060,0.2614353520934062,0.7385646479065939
TEST_00061,0.0,0.0
TEST_00062,0.26274224750740327,0.7372577524925967
TEST_00063,0.3459942108251696,0.6540057891748303
TEST_00064,0.618074119799435,0.7152592135338982
TEST_00065,0.5527246414602465,0.7806086918730868
TEST_00066,0.4683696010784103,0.5316303989215898
TEST_00067,0.3428708127583722,0.6571291872416278
TEST_00068,0.2781395242255613,0.7218604757744387
TEST_00069,0.6713685435390575,0.6619647897942759
TEST_00070,0.5679089473451427,0.7654243859881905
TEST_00071,0.5363932670250079,0.7969400663083254
TEST_00072,0.41992439294471207,0.5800756070552879
TEST_00073,0.5902425030151331,0.7430908303182001
TEST_00074,0.4677265586361984,0.5322734413638017
TEST_00075,0.0,0.0
TEST_00076,0.7460976452683961,0.5872356880649373
TEST_00077,0.29724788488265647,0.7027521151173435
TEST_00078,0.3448178874811719,0.6551821125188281
TEST_00079,0.35045883916535225,0.6495411608346477
TEST_00080,0.3722257748850737,0.6277742251149263
TEST_00081,0.6348145749655079,0.36518542503449214
TEST_00082,0.5882604962553893,0.41173950374461066
TEST_00083,0.5222596824884134,0.47774031751158663
TEST_00084,0.506702008794946,0.49329799120505397
TEST_00085,0.5391810968665198,0.7941522364668135
TEST_00086,0.5375562422986628,0.7957770910346705
